G4_1a	HH_G4_1a
"Charlie is saying that the gas particles spread out through the glass. The teacher is saying that blowing air into a balloon makes it bigger. The air particles are spread out through the balloon. (which doesn't relate to water, because you are not blowing air into it)"	1
This can be used as evidence for Charlie's claim because it is saying that the balloon grows bigger in all directions and that matches Charlie's drawing.	0
This can be used to support his claim because his said that they all spread out. In a balloon they do the same and this can connect is to real life more.	1
This could be used to support Charlies claim because the gas molecules are spread out just like it is in the picture. 	0
"Charlie's claim was that the gas particles would start from one spot and spread through all directions of the box, like when you blow up a balloon, the gas particles don't go in one direction, they go in multiple."	2
"If the balloon grows bigger in all directions, Charlie is showing how all the air is spread out"	1
This evidence supports Charlie's claim because when you put air into a balloon it goes into different directions. This is what Charlie wrote down in his notebook. 	2
He is saying that when you blow into a balloon the air fills up the whole ballon and spreads throughout the inside of the ballon. It doesn't just float to the top.	1
"Charlie could argue that if the air particles didn't spread out, than the balloon would only grow bigger in one direction when air was blown into it."	1
Charlie thinks that when gas enters a balloon the gas spreads out evenly created the balloons shape and he thinks the same will happen to the gas particles when in a box. 	2
"If the particles are the air particles in the balloon, then if the balloon air spreads out, then the particles spread as well."	2
"Charlie's gas particles spread out in all directions, just like a balloon does. If gas  particles only rose, then balloons would be long and skinny instead of wide."	2
Charlie could be right because you are blowing carbon dioxide into the balloon which is a gas and the balloon expand in many different ways.	0
that when you blow a bolloon this is right.	0
"If it gets bigger in all directions, it's spread out across all directions."	0
This helps Charlie's claim because he is explaining his theory and giving some personal experience why he thinks that.	0
"it would help because in a way, it's all spreading out inside the box, like it is in the balloon."	0
In a balloon the particles flout midair.	0
The evidence could be used to support charlies claim by saying that gas particles spilt up when you blow a ballon cause the gas particles inside it are not togheter wich blows up the ballon.    	1
that the gas expanded	0
"This evidence supports Charlie's claim because if the balloon grows bigger and expands in all directions, the air must be expanding too. "	1
because his gas particles go in all directions.  	0
the teachers evidence supports charlie's claim because the teacher is using an example to support the claim	0
the bubbles are in the middle 	0
the dots sped out when a balloon grows 	0
"This says that gas particles spread apart in the air, which supports Charlie's claim because the depiction of his claim was that the gas particles would spread apart in the box."	0
the spreading out makes the balloon spread out and as the teacher said grows bigger	1
This could be used to support Charlie's claim because it's evidence that the particles move around. When air is blown inside the balloon gets pushed by the particles and increases it's size.	1
What the teacher told Charlie was that when air is blown into a balloon it grows bigger and bigger and this is because the gas particals have to flout in every direction in order to make the balloon grow and so to do that the gas particals have to be everywhere and spread out and that is what Charlie's claim is.	2
"The picture charlie drew is gas particles spreading in all directions and the teacher said when you blow air into a balloon, the balloon grows bigger in all directions."	1
The air makes the balloon bigger and the particles become more spaced out 	1
The air in a balloon spreads out just like in Charlie's diagram.  .	2
That a balloon grow bigger because the gas particles goes every diction 	1
The air pushes the balloon out and isn't just going in one direction. If it was just going up it would be more of a rod shape.	1
"This supports Charlie's claim because when you blow are into a balloon it grows in all directions so, the gas would be spread out rather than in one location of the balloon"	1
"The air in a balloon depending on how much air you put into it, expands into a big sphere which is even."	1
"Charlie drew the chemicals that are always moving, and they are not separated   from each other."	0
When blowing into a balloon the air is forced into an expandable weak substance and is trying to make more room so the gas could force its way out.	0
"Charlie's claim is that particles would float anywhere in every direction. å¬When you blow air into a balloon, the balloon grows bigger in all directions,"" supports Charlie's claim because what Charlie drew is the same action as what the teacher told him. "	2
"because it said the balloon grow bigger in all directions, that mean the air goes at all direction too, and at all place. "	1
This proves that gas spreads out evenly in all directions.	0
when you blow up the balloon your adding air to the balloon which makes the particles move differently with the additional air	0
The gas bubbles stay in the middle because the air is pushing them in from all sides.	0
"Since blowing air into a balloon expands in all directions, gas particles in a box must expand as well."	2
it expands 	0
"Since the air put in the balloon is scattered in all directions, the glass particles should also be scattered in all directions."	2
The particles can be going all over the place and be how like Charlie had drew in his picture that is inside his notebook.	0
He is saying that the gas in a balloon spreads around everywhere.	1
the sugar is not going to spread out in the soda if you open the soda all the cool gas comes out	0
the evidence could support charlie's claim by the teacher also telling him that when you blow the air balloon the balloon grows bigger. 	0
When you blow air into the balloon it spreads out and expands the balloon making it bigger and bigger until there is no more room to expand and just pops	1
 The gas paticles are all over the place.	0
"This might support Charlie's claim, as this is saying that the particles will go in each directions, giving air to all parts of the balloon, and Charlie says the particles will spread evenly apart in all directions, the evidence and Charlie's opinion match."	2
"That means that the air in the balloon would spread out, just like the particles in Charlie's claim."	2
This follows Charlieå«s claim because the teacher stated how the balloon gets bigger when you blow air into it which means that the gas particles are spreading	1
Charlie made the assumption that the gas particles would spread apart since they do that same when blowing up a balloon.	2
The evidence can be used to supports Charlie's claim because the gas spreads all over the place in both the balloon and the box	2
I think that this evidence supports my claim because the gas particles had moved around in the bubble and that means that the gas particles have spread out	0
"The gas particles do spread out in a balloon when its being blown in to. And if it is compared to the drawing he drew, he would have a good piece of evidence. "	2
"Gas is air and its all spread out.  When the air is going into the balloon, it grows bigger and the gas particles are jumping everywhere.  Gas fills up the container."	1
the gas in the balloons spreed so the gas in the box will too	2
so when you blow into a balloon it gets bigger and when you blow into bubble gum it gets bigger so all the particles are going around to create more space so it can get bigger. 	1
"The air inside the balloon does not only go up, it goes all around the balloon evenly."	1
it grows in all directions 	0
that the gas wants to go in the air 	0
more air equal more space.	0
the balloon is rubber and can expand a lot so the gas in a balloon move around the balloon.	1
If the balloon grows bigger than the particles have more space to spread and it will then look like his drawing.	1
"When you blow a balloon the gas particles go in different directions, not staying together, making Charlie's explanation true."	1
"Once you blow air into a balloon, the balloon grows bigger and bigger. Therefore, once you leave the box alone in one minute, the particles must go all over the place just like the balloon."	2
they have motion they  can go where ever 	0
when there is this one type of gas then yes it will be moving around 	0
"When you blow into a balloon, the air makes the balloon bigger and bigger based on how much air you blow into it. the air then keeps the balloon big when you tie up the balloon. The same thing goes for the gas particals in the box "	0
"when the balloon goes bigger, the gas would spread out to make the balloon big"	1
"In a way there both the same because the particles don't just rise up,they go in every direction the particles spread out that why when u blow into a balloon it gets bigger because the particles spread out"	2
because all the bubbles of the soda can fill into the balloon and make the balloon bigger	0
because it will settle and will desolve 	0
Because Charlie says the particles go in random places like how it would if you blow up a balloon. 	2
this is not a solid block of beans will report my memes are seamed dead 	0
the particles go all around inside the balloon 	0
"This evidence could be used to support Charlie's claim because his drawing claims that the gas particles go in all directions, just as the balloon grows bigger in all directions."	2
because the gas is everywhere. 	0
Because those particles can go and be free because they have more space than a soda can.	0
The gas particles in the balloon after blowing it pushes the balloon outwards making it bigger.	0
The evidence could be used to support Charlies claim because the picture of the gas in the box shows all the gas that is spreed around the box	0
"        This evidence can be used to support Charlie's claim by him showing that the particles are stretched out just like if someone were blowing a balloon, the balloon would expand as well."	2
"Charlie says that gas particles spread out, in all directions. If a balloon expands out in all directions, it supports Charlie's claim (because that would mean the air goes in all directions, like Charlie says)."	2
"When air is blown, it is hot or cold, that could be what affects the particles."	0
because his are scattered.	0
He saying that the particles when inside they move around to blow up the balloon.	1
This helps support his claim because it says that gas particles move all around and don't just apply to one spot. 	0
If you blow air into a balloon then the particles become spaced out so that must be the same with gas particles in a box.	2
The hydrogen and oxygen molecules are still close so they didn't rise.	0
That when you blow the balloon the air will move freely like blow air at your hand to harm you up the air goes freely 	0
"This evidence could be used to support Charlie's claim because when you blow into a balloon, the gas particles spread out and make the balloon expand in different directions."	1
Saying it expands more when it is more spread out.	0
"The teacher states that‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions.‰Û which eventually mean the gas particles will spread all through the balloon."	1
"This supports Charlie's claim because if you blow up a balloon it gets bigger and bigger and once you tie it you can notice on every part or side of the balloon, it got bigger."	0
"This evidence supports Charlie's claim because Charlie draw the gas particles moving in every direction and when you blow up a balloon, the gas molecules spread as it expands. "	2
when the gas is inside it gets bigger every were and it soon escapes 	0
Because they are all split up and they are in all directions	0
"This evidence can be used to support Charlie's claim because to make the balloon expand, the gas must spread out to make the balloon bigger."	1
This supports Charlie's claim because the gases inside the balloon expands the balloon.	1
The bubble is confined in an balloon. The bubble will form the balloon into a shape and is spread throughout. 	0
"The gas particles in the balloon support Charlie's claim, because the particles move slowly and start to slowly split, meaning less energy is in the particles."	1
This evidence could support Charlies claim because it shows that in certain conditions gas particles spread out enlarging the item .	0
this claim also makes sense but in the picture it seems that there aren't enough particles or gas bubbles to fill up the whole box therefore this claim is irrelevant for Charlie's claim.	0
Charlies evidence does support his claim and his evidence is true because the gas particles inside of the balloon can blow up in many different ways.	1
i think that this helps charlies claim by showing that gas can expand and go spread out 	0
The same thing he just imagine that he is blowing to a balloon.	0
"This could be used to support his claim because gas particles do spread out and fill up space. so when you blow air into a balloon, that's why it gets bigger."	1
"The balloon is growing bigger because the gas particles are all spreading out, which is similar to what Sam drew in his notebook. "	2
"This evidence might be used to support Charlie's claim because now he knows that if gas particles do actually look like how he drew them, he has evidence and that is that ""When you blow air into a balloon, the balloon grows bigger in all directions."""	1
"This evidence can support Charlie's claim because in his claim he drew that the gas particles spread out. so that fact that the teacher said ""when you blow air in a balloon, the balloon grows bigger in all directions' can totally explain why he thought what he thought. .."	1
Gas tends to spread out when exposed to air. Like when you blow into a balloon. you are blowing air into it and all of the gas particles in it are just going to spread out. 	1
This evidence would be used to support Charlie's claim because if you add more gas particles the particles would be everywhere.	0
This evidence can be used to support his claim because he can demonstrate it and the balloon won't just grow bigger on one side.	0
"Once you blow air into a balloon the air doesn't just stay in one spot it moves around so that the balloon can get bigger and bigger,so charlie's claim was that the gas particles move around."	1
The evidence can support Charlie's claim because the evidence shows that the gas particles are spread out exactly like Charlie's claim	0
This evidence could be used to support charlies claim because the particles inside a balloon are moving around everywhere which causes the balloon to inflate. 	1
that the air has spread throughout the whole entire area that was given  	0
"The balloon is just like the gas particles, it gets mixed around"	0
Charlie could use this because when you blow air into a balloon it expands all directions and what his drawing is saying that the air particles are going everywhere or they are everywhere.	1
when its a balloon it does grow bigger and that is a really good support.	0
The gas particles will move all around everywhere so that thing will get bigger.	0
"Out of all the states of matter like solid, liquid and gaseous, this is gaseous. Think of the gaseous state like a kid very energetic among the crowd of people. Gases have the most heat so they have the most energy like a hot air balloon it is able to rise up because of the particles moving fast. If you look at gas it is spread out as they are moving in different directions"	1
That the gas can go any where that is why it will be in different directions	0
"They expand and they spread out away from each other just like when you blow a balloon, it's small and mushed up but when you blow, it expands and gets bigger "	1
This evidence used to supports Charlie's claim because the balloon is filled with air particle.	0
He thinks that when the air rises it will go in different directions like a balloon.	1
"The gas takes up space, inflating the balloon."	1
This evidence can be used because there are different directions that the air goes when you blow into a balloon. 	1
The gas goes everywhere when you blow up a balloon	1
Charlie thinks that since you blow air into a balloon it goes bigger in every direction but I think that it doesn't really work like that. 	0
"Since balloon grows bigger in all direction , it shows us that gas spreads in all direction, which will support his statement."	1
the particles in the balloon spread out equally	1
The particles in a ballon are an example of Charlie's claim. 	0
"When a balloon is blown, it is added more air or gas into it which means its expanding because of the gas or air."	1
when you blow a balloon the air goes to all equal sides for the air so the balloon is equally sided with the oxygen given inside the balloon.	1
The balloon get bigger on all sides because the gas spreads into all directions.	1
The gas goes all over until the balloon is fully blown	1
"Charlie could argue that if a balloon grows bigger in all directions, the gas particles are spreading out evenly, just like his picture."	2
"Thus evidence can support Charlie's claim as when air is blown into the balloon, the gas particles move out in all directions."	1
I think that this information can be used to support Charlie's claim because the air pushes the balloon in all directions causing the balloon to expand all around. Charlie stated that the particles spread out which would cause the same thing.	2
"This evidence could be used to support Charlie's claim by arguing that if the molecules move in all directions, then they would go in all directions."	0
"This supports Charlie's claim because Charlie says the the air is spread out (in all directions), just like the teacher's balloon example."	2
"Charlie claims that the gas particles would try to fill up as much space as possible. When the balloon is blown up, the gas or air particles try to fill up as much of the space of the balloon as possible filling the balloon up."	0
"This evidence can be used to support Charlie's claim, since the pressure is changed when you blow air into the balloon, making the particles spread out from one another."	1
"Charlie could use the example of how blowing air into a balloon causes the gas to spread in all directions, therefore leading the balloon to grow bigger in all directions, not just at the top, to support his claim that gas particles will spread out."	1
The gas particles when blown in a balloon must spread out and disperse to result in the balloon expanding.	1
This evidence could be used to support Sam's claim. This is because he could assume that the gas in the space would act like the gas in a balloon and expand.	2
"This evidence could be used like this:  When air is blown into a balloon, the air particles are spread out into the ball in all directions which inflates the balloon and makes it grow. This means that whenever particles are placed into a container, the particles will disperse to fit the need of the container. Therefore in my picture, the particles are dispersed after one minute. "	0
This evidence helps because it is saying that the gas is spreading out and expanding the balloon and the drawing also looks the air particles are expanding in different directions 	2
"This evidence could be used to support Charlie's claim because, when the particles stay in the box they spread because they have more room."	0
"This evidence can be used to support Charlie's claim because when you blow into the balloon it will grow from all sides, so it is not distorted. This means that the particles will spread out over time."	1
"This evidence could be used to support Charlie's claim, because it's similar to what he stated. Having an example could help to explain why he believes gas will behave a certain way. "	0
"This evidence can be used to support Charlie's claim because the teacher said that if you blow air into a balloon, the balloon grows bigger in all directions which means that the gas particles have to be spread out (which is similar to the drawing in Charlie's claim)."	2
"The air blown into balloons is gas (air is gas), and the air causes the balloon to become bigger. The balloon expands in all directions, so Charlie is saying that the gas is going in all directions. "	1
"When you hold a balloon, it is floppy, and has no shape.  But if you are to blow air (gas) into it, it will expand in all directions.  This is because gas particles shoot in different directions, constantly bouncing off one another."	1
This shows that if it did the opposite it would look as if you put a rock into the balloon.	0
"Air is a type of gas, and when it is used, it can spread anywhere."	0
"This could support his claim because if the gas in balloons spread out to expand the balloon, then the gas particles in the box will too."	2
Charlies claim is that gas travels everywhere so when you blow a balloon all the gas goes everywhere too.	2
I believe that this information can be used to support Charlie's statement because the air spreads out in all directions causing the balloon to spread out.	1
"The gas particles in the original drawing show them tightly packed together at the bottom of the box. In Charlie's drawing, he drew the gas particles spread out, and all over the box, similar to blowing up a balloon. Blowing air into a balloon causes the balloon to get bigger, just like how Charlie depicted it. The originally close particles spread out and covered a larger expanse of area, increasing in size just like a balloon when air is continually blown into it. "	2
"Charlies claim was that overtime the gas particles will spread apart, like a balloon it gets bigger which means the particles need to spread out. "	2
"This could be used to support Charlie's claim because gasses are always moving in random directions, so gasses typically would not stay in a small area for very long."	0
"This evidence could be used to support Charlie's claim because he drew the gas particles expanding and going out in all directions, just like how when you blow air into a balloon, the balloon grows bigger in all directions."	2
"Charlie can use this evidence to support his claim by stating that the gases one blows in a balloon makes it bigger, then gas must expand outward evenly."	1
in charles statement about the ballon he stated that the particles will be evenly spaced out and it is here 	1
"Charlie's claim is that the particles spread out in all directions, like how the balloon gets bigger. The particles are similar to the air spreading out."	2
"Because the balloon is filled up entirely, in all areas, by the gas/air, it means the gas particles must fill up an entire closed object, like the balloon."	2
"When you blow the air into a balloon, the gas particles spread out in every direction. The same thing will happen when you put these gas particles in a box; they will spread out."	2
"This evidence could be used to support Charlie's claim because all the air particles go in all directions, like Sam's scattered particle drawing."	0
Since the air in a balloon spreads out the gas in a box should also spread out because they're both gas	2
This evidence shows that when air or gas is inside something is spreads out in all directions just like it should in the box.	0
"Charlie could use this to support his claim because it has the same idea as Charlie's claim. Charlie's image implies that he thinks the gas molecules will spread out, similarly to when you blow into a balloon and the balloon grows bigger in all directions."	2
"This could be used to help support Charlie's claim because he draws the particles expanding outwards in the box, similar to air in a balloon."	2
"Charlie says that the gas particles will spread out over time within the container. The teacher states that ‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions.‰Û The gas is expanding the growing in all directions just like how the gas is expanding in the container. "	2
"The evidence that Charlie gave could be used to support his claim. For example, when you blow us a balloon, the balloon expands in all different directions. And the way for that to happen is for the air inside to be spread out, even. Therefore, after one minute, the gas particles would be spread out."	2
"This could be used as evidence by saying that when you blow up a balloon, the it expands in all directions, so the gas must also expand in all directions. "	2
"Charlie's claim is that the particles will spread apart. The teacher tells Charlie that the balloon becomes bigger as you blow more air into it. As more gas particles enter the balloon, the balloon will grow bigger as the particles spread apart. "	1
The evidence can support Charlie because it can give him an example to explain his claim.	0
"Since the air (gas bubbles) in the balloon expands in all direction and the bubbles on charlie's sheet did the same, you could argue that he's right.  "	2
"This can be used to support Charlie's claim because in his drawing, the molecules are separating.  "	0
"The molecules are spreading out equally, therefore pushing the balloon sides out in all directions"	1
This could be used to support Charlie's claim because he predicted that the gas particles would spread in all directions and its a fact that air particles spread in all different directions in a balloon.	1
The teacher uses Charlie's picture to make a true statement that corresponds with his picture.	0
"This could support Charlie's claim, because the particles are spread all around the area."	0
"When the teacher said when you blow air into a balloon, the balloon grows bigger in all directions, Charlie inferred that all gas bubbles float in all directions."	1
"This evidence is used to support Charlies claim, because since his claim was that gas spreads throughout the box, then that means since the spreads all throughout the balloon to help it expand, then it must spread throughout the container to. "	2
Charlie stated the gas particles will evenly space out over time. The teacher said that the air expands in all directions. This can help prove Charlie's hypothesis because the air is expanding everywhere and not at the top.  	2
"This evidence can't be used to support Charlie's claim, sorry Charlie."	0
if a balloon gets blown up with hellium it flout and get bigger but how would the particles that have gas in them spread out?	1
that the particles are moving around in that space that is getting bigger and bigger 	0
"When you blow air into a balloon, the air particles scatters. Charlie could support his claim using this information."	1
"When you blow air into a balloon, the air particles take the shape of the balloon and spread out causing the balloon to expand."	1
the gases are expanding.	0
she is saying the air spears out 	0
"The gas particles are like the balloon, spreading out in all directions."	2
"This can support Charlie's claim because he stated that the gas particles fill up their contained space, and his teacher had just given him and example of how gas particles in a balloon do that very thing."	0
"because when you blow up a balloon, you are blowing gas into it and it expands in all directions.if the gas only went in one direction, the balloon will onlyexpand in that one direction."	1
"Since charlies claim is gas will spead all around the box this is the same as When you blow air into a balloon, the balloon grows bigger in all directions"	2
The more gas particles that are in the balloon the more the balloon stretches.	0
This is also true when you breath oxygen into the balloon. 	0
"The air particles are all spread out . When you blow into a balloon, it expands. The particles are evenly spaced so when they go into  the balloon, it pushes apart. "	1
charlie is wrong	0
"This evidence could support Charlie's claim because when you blow air into a balloon, the air grows bigger in all directions of the balloon. Same could happen to Charlies idea that all the particles will go in all the directions of the box since air is a particle."	2
"This evidence could be used to support Charlie's claim because the air in the balloon is taking up all the available space inside of the balloon, similar to how the gas particles take up the space in the box."	2
"The evidence the teacher told Charlie supports his claim because he said how the gas particles scatter around the box and not all go at the same place and to the same direction, just like a balloon. "	2
"As you begin to blow air into a balloon in it grows up and at different angles, expanding the balloon.The air fills the balloon and is in all parts of the balloon."	1
Both examples are gas particles so they have a similarity  which charlie can use as evidence	0
"This could be used as evidence to support Charlie's claim by showing and explaning that when air is added to the balloon, the gas bubble goes everywhere, which makes the balloon expand. "	1
In Charlie's picture he drew that the gas starts moving and when you blow air into a balloon it starts to increase in size because of the particles that are moving inside.	0
"This evidence suprrot Charile by the praticles move in all direction, like a balloon growing bigger"	2
"This could support charlies evidence because in his claim the gas particles seperate, and in a balloon the gas seperates and makes the balloon bigger."	1
Charlies claim is that gas particles will scatter in one minute.	0
scince the particals are all sread out the balloon grows 	1
"When the balloon grows bigger, it grows in different directions, in Charlie's picture, the gas particles are in every direction, spread out."	1
baloons particle spread out very far	1
"This supports Charlie's evidence because the teacher is proving that in balloons, the gas particles spread out in all directions like in Charlie's notebook."	2
"Charlie claims that the gas floats around and the teacher said that when you blow in a balloon, the balloon expands in all directions which is what Charlie drew in his notebook."	2
This evidence could be used to support his claim because the pas particles in the balloon spread and grows bugger in all directions. This is similar to what Charlie showed in his diagram. 	2
"This can support his claim because he drew his particles spread out and going in different directions, like a balloon."	2
This evidence could be used to support Charlie's claim because Charlie drew that after one minute gas molecules float everywhere.	0
This supports Charlies claim because when you blow air into the balloon all the particles are distributed across the area inside the balloon.	1
As i said before evidence and claim and pictures.	0
"This evidence could support Charlie's claim because his picture shows particles spread out. So if a balloon is expanding in all directions, the particles would spread out, looking like this."	1
"The teacher is saying that the gas particles cover every inch to inflate the area, as depicted in Charlie's picture."	0
This proves that the gas particles will scatter	0
"because the air you exhale into a balloon is a gas, and like the air in the balloon this gas could go in all directions and try to disperse also"	2
"This supports Charlie's claim, because it relates to his drawing. Since it states the balloon goes in all directions, it matches the picture he drew about gas particles."	0
"He could write: When you blow up a balloon, the air particles spread and make the balloon bigger"	1
because it shows that its an example of how the particles spread out.	0
the air particles are spreading to fill the balloon. 	1
Since Charlie believes that gas bubbles float everywhere his evidence can be once you blow air into a ballon the balloon grows bigger because the gas bubbles.	1
it shows that he was technically right in some way	0
That when you blow up a balloon the air does not just go to the top it fills up the whole space of the balloon.	1
it supports the claim because the gas particles are scattered everywhere	0
"Charlie, can use this to support his claim by adding on to his claim, like, My claim is that the gas particles fill in the spaces of the box, and an example of this is ‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions.‰Û."	2
because gas is all over the place.	0
"This evidence supports his claim because when you blow into a balloon, the Carbon spreads out to fill up the space in the balloon, showing that Charlie's claim about the gas spreading out in the box is true."	2
"When we blow balloon, it grows bigger in all directions."	0
because it shows that it has to spread in order to work	0
This will help Charlie because Cjarlie states that gas spreads out and that is what the teavher said.	0
That could help support Charlie's claim because when you blow air into a blown you blow gas particles into the balloon just like the air particles are in the box Charlie drawled.	0
